model,accuracy_at_0_50,precision_at_0_50,recall_at_0_50,f1_at_0_50,roc_auc
Random Forest,0.8099812707836966,0.5300021819768711,0.15991836197248008,0.24570099130082945,0.702405368679327
Logistic Regression,0.6283970593856307,0.28764167856817285,0.6232141681480018,0.39361304004324504,0.6706287042961466
Gradient Boosting,0.8121090116834635,0.6349206349206349,0.06847060372638093,0.12361086349319546,0.7065471842466471
