model,accuracy_at_0_50,precision_at_0_50,recall_at_0_50,f1_at_0_50,roc_auc
Random Forest,0.8098793430759234,0.5294247299977959,0.15814075976035288,0.24353644935617966,0.7030567357431367
Logistic Regression,0.628422541312574,0.287646254368637,0.6231483310290342,0.3936041917910758,0.6705367416004747
Gradient Boosting,0.8121090116834635,0.6349206349206349,0.06847060372638093,0.12361086349319546,0.7065471842466471
