YEAR,MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRS_DEP_TIME,DEP_DELAY,DEP_DEL15,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_DELAY,ARR_DEL15,CANCELLED,CANCELLATION_CODE,CRS_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,ORIGIN_Air_Carrier,ORIGIN_Air_Taxi,ORIGIN_General_Aviation,ORIGIN_Military_Itinerant,ORIGIN_Total_Itinerant,ORIGIN_Local_Civil,ORIGIN_Local_Military,ORIGIN_Local_Total,ORIGIN_Total_Operations,DEST_Air_Carrier,DEST_Air_Taxi,DEST_General_Aviation,DEST_Military_Itinerant,DEST_Total_Itinerant,DEST_Local_Civil,DEST_Local_Military,DEST_Local_Total,DEST_Total_Operations,ORIGIN_TMAX,ORIGIN_TMIN,ORIGIN_TAVG,ORIGIN_PRCP,ORIGIN_SNWD,ORIGIN_AWND,ORIGIN_WSF2,DEST_TMAX,DEST_TMIN,DEST_TAVG,DEST_PRCP,DEST_SNWD,DEST_AWND,DEST_WSF2,HAS_FAA_DATA
2022,4,2,4/19/2022 12:00:00 AM,WN,,10423,AUS,"Austin, TX",TX,12206,HRL,"Harlingen/San Benito, TX",TX,700,6.0,0.0,13.0,2.0,810,-6.0,0.0,0.0,,70.0,273.0,,,,,,544.0,73.0,153.0,12.0,782.0,0.0,0.0,0.0,782.0,,,,,,,,,,217.0,89.0,172.0,3.0,0.0,46.0,98.0,,,,,,,,0
2022,1,4,1/20/2022 12:00:00 AM,DL,,14747,SEA,"Seattle, WA",WA,12892,LAX,"Los Angeles, CA",CA,1800,-7.0,0.0,16.0,10.0,2038,-26.0,0.0,0.0,,158.0,954.0,,,,,,1017.0,12.0,2.0,0.0,1031.0,0.0,0.0,0.0,1031.0,1431.0,74.0,33.0,5.0,1543.0,0.0,0.0,0.0,1543.0,111.0,44.0,96.0,41.0,0.0,59.0,103.0,239.0,89.0,151.0,0.0,,22.0,58.0,1
2022,12,6,12/31/2022 12:00:00 AM,NK,,14843,SJU,"San Juan, PR",PR,13204,MCO,"Orlando, FL",FL,1933,,,,,2146,,,1.0,A,193.0,1189.0,,,,,,267.0,138.0,32.0,25.0,462.0,0.0,0.0,0.0,462.0,1097.0,38.0,20.0,1.0,1156.0,0.0,0.0,0.0,1156.0,294.0,228.0,,23.0,0.0,31.0,81.0,217.0,189.0,212.0,74.0,0.0,28.0,63.0,1
2022,11,3,11/23/2022 12:00:00 AM,WN,,13796,OAK,"Oakland, CA",CA,13891,ONT,"Ontario, CA",CA,1840,-1.0,0.0,18.0,4.0,2000,-2.0,0.0,0.0,,80.0,362.0,,,,,,374.0,90.0,96.0,2.0,562.0,114.0,0.0,114.0,676.0,305.0,42.0,21.0,0.0,368.0,0.0,0.0,0.0,368.0,194.0,33.0,,0.0,,13.0,40.0,94.0,-32.0,,0.0,,14.0,45.0,1
2022,10,7,10/16/2022 12:00:00 AM,WN,,10693,BNA,"Nashville, TN",TN,10800,BUR,"Burbank, CA",CA,1720,4.0,0.0,12.0,2.0,1950,4.0,0.0,0.0,,270.0,1791.0,,,,,,595.0,135.0,122.0,13.0,865.0,0.0,0.0,0.0,865.0,152.0,76.0,90.0,0.0,318.0,22.0,0.0,22.0,340.0,200.0,150.0,177.0,25.0,0.0,24.0,58.0,228.0,161.0,,0.0,,15.0,40.0,1
2022,12,1,12/19/2022 12:00:00 AM,AA,,14843,SJU,"San Juan, PR",PR,13303,MIA,"Miami, FL",FL,1100,11.0,0.0,23.0,8.0,1259,4.0,0.0,0.0,,179.0,1045.0,,,,,,235.0,182.0,51.0,1.0,469.0,0.0,0.0,0.0,469.0,1223.0,97.0,37.0,0.0,1357.0,0.0,0.0,0.0,1357.0,294.0,228.0,,0.0,0.0,27.0,81.0,261.0,172.0,213.0,0.0,,36.0,72.0,1
2022,11,7,11/27/2022 12:00:00 AM,YX,,12953,LGA,"New York, NY",NY,11066,CMH,"Columbus, OH",OH,820,-3.0,0.0,10.0,5.0,1014,-13.0,0.0,0.0,,114.0,479.0,,,,,,1036.0,13.0,11.0,0.0,1060.0,0.0,0.0,0.0,1060.0,237.0,63.0,55.0,0.0,355.0,0.0,0.0,0.0,355.0,161.0,94.0,107.0,137.0,0.0,48.0,116.0,150.0,56.0,94.0,150.0,0.0,60.0,143.0,1
2022,9,5,9/2/2022 12:00:00 AM,NK,,13204,MCO,"Orlando, FL",FL,14869,SLC,"Salt Lake City, UT",UT,1330,-2.0,0.0,14.0,11.0,1615,-12.0,0.0,0.0,,285.0,1931.0,,,,,,929.0,33.0,35.0,0.0,997.0,0.0,0.0,0.0,997.0,664.0,138.0,152.0,6.0,960.0,0.0,0.0,0.0,960.0,328.0,228.0,273.0,358.0,0.0,17.0,81.0,378.0,200.0,291.0,0.0,0.0,27.0,58.0,1
2022,4,4,4/21/2022 12:00:00 AM,UA,,11618,EWR,"Newark, NJ",NJ,11697,FLL,"Fort Lauderdale, FL",FL,1357,-6.0,0.0,16.0,2.0,1654,-6.0,0.0,0.0,,177.0,1065.0,,,,,,1230.0,56.0,30.0,1.0,1317.0,0.0,0.0,0.0,1317.0,683.0,89.0,119.0,3.0,894.0,0.0,0.0,0.0,894.0,178.0,83.0,122.0,0.0,0.0,37.0,89.0,278.0,228.0,247.0,0.0,,73.0,103.0,1
2022,5,3,5/4/2022 12:00:00 AM,YX,,12953,LGA,"New York, NY",NY,11278,DCA,"Washington, DC",VA,2030,-6.0,0.0,34.0,3.0,2200,-14.0,0.0,0.0,,90.0,214.0,,,,,,1110.0,20.0,9.0,0.0,1139.0,0.0,0.0,0.0,1139.0,867.0,5.0,8.0,5.0,885.0,0.0,0.0,0.0,885.0,194.0,100.0,120.0,30.0,0.0,27.0,63.0,233.0,139.0,174.0,132.0,0.0,23.0,67.0,1
2022,9,7,9/18/2022 12:00:00 AM,WN,,12191,HOU,"Houston, TX",TX,12448,JAN,"Jackson/Vicksburg, MS",MS,1115,-2.0,0.0,14.0,5.0,1235,-11.0,0.0,0.0,,80.0,359.0,,,,,,310.0,87.0,123.0,4.0,524.0,0.0,0.0,0.0,524.0,41.0,17.0,17.0,24.0,99.0,10.0,26.0,36.0,135.0,344.0,244.0,288.0,0.0,,25.0,67.0,350.0,211.0,,0.0,0.0,26.0,54.0,1
2022,5,3,5/11/2022 12:00:00 AM,WN,,14771,SFO,"San Francisco, CA",CA,11292,DEN,"Denver, CO",CO,1440,25.0,1.0,14.0,6.0,1810,12.0,0.0,0.0,,150.0,967.0,,,,,,797.0,126.0,27.0,11.0,961.0,0.0,0.0,0.0,961.0,1411.0,295.0,10.0,0.0,1716.0,0.0,0.0,0.0,1716.0,167.0,83.0,123.0,0.0,,74.0,148.0,222.0,56.0,,0.0,0.0,,,1
2022,10,2,10/11/2022 12:00:00 AM,9E,,11003,CID,"Cedar Rapids/Iowa City, IA",IA,13487,MSP,"Minneapolis, MN",MN,1730,-4.0,0.0,11.0,5.0,1856,-29.0,0.0,0.0,,86.0,220.0,,,,,,31.0,23.0,34.0,0.0,88.0,0.0,0.0,0.0,88.0,652.0,98.0,44.0,2.0,796.0,0.0,0.0,0.0,796.0,183.0,106.0,,74.0,0.0,51.0,94.0,267.0,122.0,184.0,0.0,0.0,70.0,107.0,1
2022,5,1,5/23/2022 12:00:00 AM,AS,,14747,SEA,"Seattle, WA",WA,14683,SAT,"San Antonio, TX",TX,1125,25.0,1.0,24.0,7.0,1725,24.0,1.0,0.0,,240.0,1774.0,5.0,0.0,0.0,0.0,19.0,1124.0,14.0,2.0,0.0,1140.0,0.0,0.0,0.0,1140.0,241.0,42.0,101.0,2.0,386.0,0.0,0.0,0.0,386.0,189.0,106.0,149.0,0.0,0.0,31.0,67.0,306.0,206.0,243.0,3.0,0.0,40.0,81.0,1
2022,12,6,12/10/2022 12:00:00 AM,DL,,10397,ATL,"Atlanta, GA",GA,14307,PVD,"Providence, RI",RI,1130,-7.0,0.0,16.0,3.0,1347,-13.0,0.0,0.0,,137.0,903.0,,,,,,1766.0,50.0,8.0,0.0,1824.0,0.0,0.0,0.0,1824.0,81.0,12.0,9.0,0.0,102.0,58.0,0.0,58.0,160.0,139.0,111.0,129.0,0.0,0.0,33.0,63.0,22.0,-5.0,12.0,0.0,0.0,64.0,98.0,1
2022,5,4,5/26/2022 12:00:00 AM,OO,,12892,LAX,"Los Angeles, CA",CA,14771,SFO,"San Francisco, CA",CA,1510,33.0,1.0,18.0,6.0,1630,31.0,1.0,0.0,,80.0,337.0,0.0,0.0,0.0,0.0,31.0,1551.0,106.0,45.0,3.0,1705.0,0.0,0.0,0.0,1705.0,892.0,145.0,35.0,6.0,1078.0,0.0,0.0,0.0,1078.0,211.0,161.0,179.0,0.0,,40.0,76.0,206.0,128.0,167.0,0.0,,30.0,89.0,1
2022,2,7,2/6/2022 12:00:00 AM,MQ,,13930,ORD,"Chicago, IL",IL,10423,AUS,"Austin, TX",TX,1029,-2.0,0.0,13.0,27.0,1331,4.0,0.0,0.0,,182.0,977.0,,,,,,1432.0,412.0,8.0,0.0,1852.0,0.0,0.0,0.0,1852.0,469.0,54.0,144.0,6.0,673.0,0.0,0.0,0.0,673.0,6.0,-77.0,-54.0,0.0,130.0,57.0,76.0,144.0,-77.0,19.0,0.0,0.0,13.0,54.0,1
